S1,72.16,-25.69,-11.02
S2,52.8,19.93,-10.94
S3,31.1,66.93,-8.294
S4,-31.32,66.87,-11.17
S5,-58.8,12.42,-15.48
S6,-71.14,-37.04,-12.25
S7,66.13,3.127,14.35
S8,49.47,47.69,13.1
S9,-0.2286,68.12,10
S10,-50.7,45.92,11.05
S11,-68.8,-10.08,9.868
S12,56.01,23.82,38.04
S13,30.11,55.54,37.59
S14,-25.33,54.93,39.06
S15,-56.52,16.5,36.5
D1,64.47,0.5064,-10.42
D2,49.59,51.83,-8.261
D3,-1.429,68.97,-12.24
D4,-52.58,43.54,-12.97
D5,-70.36,-11.81,-12.4
D6,69.9,-23.46,14.41
D7,60.6,26.21,12.86
D8,31.08,65.98,11.42
D9,-27.6,68.41,11.31
D10,-61.93,15.41,8.406
D11,-71.64,-31.27,11.51
D12,64.67,0.1818,41.21
D13,46.78,42.02,36.04
D14,1.768,59.54,39.99
D15,-45.45,39.59,36.18
D16,-66.35,-8.99,36.9
 CH1 (S1-D1),70.26,-11.02,-10.66
 CH2 (S1-D6),71.33,-24.44,1.531
 CH3 (S2-D1),59.98,12.26,-10.26
 CH4 (S2-D2),54.8,40.99,-9.616
 CH5 (S2-D7),59.04,26.43,0.6173
 CH6 (S3-D2),41.74,61.61,-8.918
 CH7 (S3-D3),15.61,71.88,-8.937
 CH8 (S3-D8),31.51,66.01,1.413
 CH9 (S4-D3),-17.55,70.38,-11.22
 CH10 (S4-D4),-44.62,57.81,-11.12
 CH11 (S4-D9),-29.06,67.56,-1.26
 CH12 (S5-D4),-50.89,22.9,-14.4
 CH13 (S5-D5),-64.89,-0.7235,-13.91
 CH14 (S5-D10),-58.32,12.78,-3.955
 CH15 (S6-D5),-72.35,-22.24,-12.9
 CH16 (S6-D11),-72.17,-32.97,-2.111
 CH17 (S7-D1),64.4,1.181,1.752
 CH18 (S7-D6),69.48,-8.844,14.27
 CH19 (S7-D7),62.71,12.95,11.51
 CH20 (S7-D12),65.69,1.195,26.87
 CH21 (S8-D2),50.16,49.62,2.446
 CH22 (S8-D7),55.08,37.44,13.29
 CH23 (S8-D8),41.03,58.93,12.75
 CH24 (S8-D13),48.26,43.69,23.35
 CH25 (S9-D3),-1.323,70.1,-0.5753
 CH26 (S9-D8),16.13,72.16,11.24
 CH27 (S9-D9),-15.37,72.29,11.12
 CH28 (S9-D14),1.327,64.37,24.94
 CH29 (S10-D4),-52.51,46.37,-1.798
 CH30 (S10-D9),-41.14,59.39,11.53
 CH31 (S10-D10),-59.15,31.6,9.861
 CH32 (S10-D15),-49.52,43.11,23.11
 CH33 (S11-D5),-69.63,-11.55,-1.151
 CH34 (S11-D10),-65.45,2.72,8.454
 CH35 (S11-D11),-71.08,-21.41,10.05
 CH36 (S11-D16),-69.68,-10.04,24
 CH37 (S12-D7),57.54,24.49,25.23
 CH38 (S12-D12),57.21,9.608,39.39
 CH39 (S12-D13),50.05,30.56,36.72
 CH40 (S13-D8),29.38,60.09,25.26
 CH41 (S13-D13),36.67,45.63,36.64
 CH42 (S13-D14),16.14,57.78,38.05
 CH43 (S14-D9),-26.85,62.43,26.24
 CH44 (S14-D14),-12.31,58.91,40.02
 CH45 (S14-D15),-35.08,46.14,37.52
 CH46 (S15-D10),-61.28,16.82,22.76
 CH47 (S15-D15),-52.59,28.07,35.65
 CH48 (S15-D16),-63.43,2.604,35.99
