channel_num,roi_num,percentage
1,21,0.9655
1,22,0.0345
2,21,0.6087
2,22,0.3913
3,21,0.2043
3,38,0.7778
3,48,0.0179
4,38,0.0241
4,45,0.2234
4,46,0.3265
4,47,0.4261
5,38,0.3192
5,44,0.0033
5,45,0.5407
5,48,0.1368
6,10,0.2828
6,11,0.1148
6,46,0.2787
6,47,0.3238
7,10,0.1629
7,11,0.8371
8,10,0.5548
8,11,0.4452
9,10,0.011
9,11,0.989
10,10,0.099
10,46,0.5198
10,47,0.3812
11,10,0.4324
11,11,0.5676
12,38,0.9897
12,47,0.0103
13,21,0.9762
13,38,0.0238
14,21,0.0341
14,38,0.6177
14,48,0.3481
15,20,0.1467
15,21,0.8533
16,20,0.0955
16,21,0.6688
16,22,0.2357
17,6,0.0271
17,21,0.2508
17,22,0.0678
17,38,0.0678
17,48,0.5864
18,22,0.5314
18,43,0.3805
18,48,0.0881
19,6,0.4277
19,44,0.2862
19,45,0.0193
19,48,0.2669
20,4,0.0671
20,6,0.3706
20,43,0.5623
21,45,0.1522
21,46,0.8478
22,45,0.9792
22,46,0.0208
23,10,0.4431
23,46,0.5569
24,45,0.8
24,46,0.2
25,10,0.8875
25,11,0.1125
26,10,1
27,10,1
28,10,1
29,45,0.3285
29,46,0.6715
30,10,0.3909
30,46,0.6091
31,45,0.9964
31,48,0.0036
32,45,0.9016
32,46,0.0984
33,21,0.5385
33,22,0.4114
33,48,0.0502
34,6,0.2691
34,22,0.0532
34,43,0.093
34,48,0.5847
35,21,0.2033
35,22,0.7967
36,2,0.0627
36,22,0.0941
36,43,0.7247
36,48,0.1185
37,44,0.4164
37,45,0.5836
38,4,0.0078
38,6,0.6163
38,9,0.0775
38,44,0.2984
39,9,0.0945
39,44,0.3425
39,45,0.4882
39,46,0.0748
40,9,0.0164
40,10,0.4098
40,46,0.5738
41,9,0.4519
41,45,0.0144
41,46,0.5337
42,9,0.8594
42,10,0.1205
42,46,0.0201
43,9,0.0041
43,10,0.4426
43,46,0.5533
44,9,0.8975
44,10,0.1025
45,9,0.4279
45,45,0.0047
45,46,0.5674
46,6,0.2587
46,44,0.6049
46,45,0.1364
47,44,0.5194
47,45,0.4806
48,3,0.0189
48,4,0.178
48,6,0.5455
48,43,0.2576
