channel_num,roi_num,percentage,percentage_sum,channel_percentage
1,21,0.9655,5.3035,0.18204959
1,22,0.0345,2.6161,0.013187569
2,21,0.6087,5.3035,0.114773263
2,22,0.3913,2.6161,0.149573793
3,21,0.2043,5.3035,0.038521731
3,38,0.7778,2.8201,0.275805822
3,48,0.0179,2.2012,0.008131928
4,38,0.0241,2.8201,0.008545796
4,45,0.2234,6.6492,0.033598027
4,46,0.3265,6.4526,0.050599758
4,47,0.4261,1.1414,0.373313475
5,38,0.3192,2.8201,0.113187476
5,44,0.0033,2.4711,0.001335438
5,45,0.5407,6.6492,0.081318053
5,48,0.1368,2.2012,0.062147919
6,10,0.2828,7.3398,0.03852966
6,11,0.1148,3.0662,0.03744048
6,46,0.2787,6.4526,0.043191892
6,47,0.3238,1.1414,0.283686701
7,10,0.1629,7.3398,0.022194065
7,11,0.8371,3.0662,0.273008936
8,10,0.5548,7.3398,0.075587891
8,11,0.4452,3.0662,0.145196008
9,10,0.011,7.3398,0.001498678
9,11,0.989,3.0662,0.322549084
10,10,0.099,7.3398,0.013488106
10,46,0.5198,6.4526,0.080556675
10,47,0.3812,1.1414,0.333975819
11,10,0.4324,7.3398,0.058911687
11,11,0.5676,3.0662,0.185115126
12,38,0.9897,2.8201,0.350945002
12,47,0.0103,1.1414,0.009024006
13,21,0.9762,5.3035,0.184067125
13,38,0.0238,2.8201,0.008439417
14,21,0.0341,5.3035,0.006429716
14,38,0.6177,2.8201,0.219034786
14,48,0.3481,2.2012,0.158141014
15,20,0.1467,0.2422,0.60569777
15,21,0.8533,5.3035,0.160893749
16,20,0.0955,0.2422,0.39430223
16,21,0.6688,5.3035,0.126105402
16,22,0.2357,2.6161,0.090095944
17,6,0.0271,2.515,0.010775348
17,21,0.2508,5.3035,0.047289526
17,22,0.0678,2.6161,0.025916441
17,38,0.0678,2.8201,0.024041701
17,48,0.5864,2.2012,0.266400145
18,22,0.5314,2.6161,0.203126792
18,43,0.3805,2.0181,0.18854368
18,48,0.0881,2.2012,0.040023623
19,6,0.4277,2.515,0.170059642
19,44,0.2862,2.4711,0.115818866
19,45,0.0193,6.6492,0.002902605
19,48,0.2669,2.2012,0.121252044
20,4,0.0671,0.2529,0.265322262
20,6,0.3706,2.515,0.147355865
20,43,0.5623,2.0181,0.278628413
21,45,0.1522,6.6492,0.022889972
21,46,0.8478,6.4526,0.131388897
22,45,0.9792,6.6492,0.147265836
22,46,0.0208,6.4526,0.003223507
23,10,0.4431,7.3398,0.060369492
23,46,0.5569,6.4526,0.086306295
24,45,0.8,6.6492,0.120315226
24,46,0.2,6.4526,0.030995258
25,10,0.8875,7.3398,0.120916101
25,11,0.1125,3.0662,0.036690366
26,10,1,7.3398,0.136243494
27,10,1,7.3398,0.136243494
28,10,1,7.3398,0.136243494
29,45,0.3285,6.6492,0.04940444
29,46,0.6715,6.4526,0.104066578
30,10,0.3909,7.3398,0.053257582
30,46,0.6091,6.4526,0.094396057
31,45,0.9964,6.6492,0.149852614
31,48,0.0036,2.2012,0.001635472
32,45,0.9016,6.6492,0.13559526
32,46,0.0984,6.4526,0.015249667
33,21,0.5385,5.3035,0.101536721
33,22,0.4114,2.6161,0.157256986
33,48,0.0502,2.2012,0.022805742
34,6,0.2691,2.515,0.106998012
34,22,0.0532,2.6161,0.020335614
34,43,0.093,2.0181,0.046082949
34,48,0.5847,2.2012,0.265627839
35,21,0.2033,5.3035,0.038333176
35,22,0.7967,2.6161,0.304537288
36,2,0.0627,0.0627,1
36,22,0.0941,2.6161,0.035969573
36,43,0.7247,2.0181,0.359100144
36,48,0.1185,2.2012,0.053834272
37,44,0.4164,2.4711,0.168507952
37,45,0.5836,6.6492,0.087769957
38,4,0.0078,0.2529,0.03084223
38,6,0.6163,2.515,0.245049702
38,9,0.0775,2.8292,0.027392903
38,44,0.2984,2.4711,0.120755939
39,9,0.0945,2.8292,0.033401668
39,44,0.3425,2.4711,0.138602242
39,45,0.4882,6.6492,0.073422367
39,46,0.0748,6.4526,0.011592226
40,9,0.0164,2.8292,0.005796692
40,10,0.4098,7.3398,0.055832584
40,46,0.5738,6.4526,0.088925394
41,9,0.4519,2.8292,0.159727131
41,45,0.0144,6.6492,0.002165674
41,46,0.5337,6.4526,0.082710845
42,9,0.8594,2.8292,0.30376078
42,10,0.1205,7.3398,0.016417341
42,46,0.0201,6.4526,0.003115023
43,9,0.0041,2.8292,0.001449173
43,10,0.4426,7.3398,0.060301371
43,46,0.5533,6.4526,0.08574838
44,9,0.8975,2.8292,0.317227485
44,10,0.1025,7.3398,0.013964958
45,9,0.4279,2.8292,0.151244168
45,45,0.0047,6.6492,0.000706852
45,46,0.5674,6.4526,0.087933546
46,6,0.2587,2.515,0.102862823
46,44,0.6049,2.4711,0.24478977
46,45,0.1364,6.6492,0.020513746
47,44,0.5194,2.4711,0.210189794
47,45,0.4806,6.6492,0.072279372
48,3,0.0189,0.0189,1
48,4,0.178,0.2529,0.703835508
48,6,0.5455,2.515,0.216898608
48,43,0.2576,2.0181,0.127644814
